congressional_district,County Name,Grade Band,Offers CS?,School District Name,School Id,School Name,School Type (group),Grades Hi,Grades Lo,Gradespan,School Type,School Year,Stage El,Stage Hi,Stage Mi,State,State name,Teaches Cs,Students - Asian,Students - Black,Students - Native American,Students - Hispanic/Latinx,Students - Pacific Islander,Students - Two or More Races,Students - White,urban_rural,Latitude,Longitude,num_students
4,Bristol County,12-Sep,Yes,NORTH ATTLEBOROUGH,2.51E+11,NORTH ATTLEBORO HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,10.85714286,7.142857143,0.428571429,7.285714286,0.285714286,4.571428571,127.1428571,Urban,41.982172,-71.310145,1106
3,Middlesex County,12-Sep,Yes,AYER SHIRLEY SCHOOL DISTRICT,2.50E+11,AYER SHIRLEY REGIONAL HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,0.857142857,2.714285714,1,5.714285714,0.142857143,4,39,Urban,42.567041,-71.57599,374
3,Middlesex County,12-Sep,No,LOWELL MIDDLESEX ACADEMY CHARTER (DISTRICT),2.50E+11,LOWELL MIDDLESEX ACADEMY CHARTER SCHOOL,public & charter,12,9,12-Sep,charter,2019,0,1,0,MA,Massachusetts,No,2.142857143,0.428571429,0,4.428571429,0,1.285714286,3.857142857,Urban,42.645201,-71.309739,85
1,Hampden County,12-Sep,Yes,EAST LONGMEADOW,2.50E+11,EAST LONGMEADOW HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,7.428571429,3.571428571,0.285714286,8.857142857,0.142857143,1.142857143,97.57142857,Urban,42.058578,-72.525007,834
1,Worcester County,12-Sep,Yes,TANTASQUA,2.51E+11,TANTASQUA REGIONAL VOCATIONAL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,0.142857143,0.142857143,0.142857143,3.857142857,0.142857143,2.142857143,63.57142857,Rural,42.160419,-72.131885,491
2,Worcester County,12-Sep,Yes,WORCESTER,2.51E+11,BURNCOAT SENIOR HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,5.714285714,29.57142857,0.142857143,67.28571429,0,7.285714286,48.71428571,Urban,42.297911,-71.788743,1111
7,Suffolk County,12-Sep,No,BOSTON,2.50E+11,SNOWDEN INTERNATIONAL SCHOOL AT COPLEY,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,No,4.142857143,23.14285714,0.285714286,35.42857143,0,1.571428571,3.142857143,Urban,42.350586,-71.077915,474
4,Middlesex County,12-Sep,Yes,NEWTON,2.51E+11,NEWTON NORTH HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,43.85714286,19,0.428571429,28.57142857,0,20.85714286,185.1428571,Urban,42.345631,-71.207622,2088
2,Worcester County,12-Sep,Yes,WORCESTER,2.51E+11,SOUTH HIGH COMMUNITY,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,21.71428571,35.71428571,0.142857143,92,0,6,41.42857143,Urban,42.244487,-71.863908,1379
6,Essex County,12-Sep,Yes,PEABODY,2.51E+11,PEABODY VETERANS MEMORIAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,4.428571429,7.714285714,0,38.71428571,0,3.571428571,153.2857143,Urban,42.544661,-70.974107,1455
9,Bristol County,Mixed,Yes,GLOBAL LEARNING CHARTER PUBLIC (DISTRICT),2.50E+11,GLOBAL LEARNING CHARTER PUBLIC SCHOOL,public & charter,12,5,12-May,charter,2019,1,1,1,MA,Massachusetts,Yes,0.714285714,7.857142857,0.285714286,31.42857143,0,3.142857143,29,Urban,41.659974,-70.929429,507
1,Hampden County,Mixed,No,CHICOPEE,2.50E+11,CHICOPEE ACADEMY,public & charter,12,7,12-Jul,public,2019,0,1,1,MA,Massachusetts,No,0,0.285714286,0,5.571428571,0,0.571428571,2,Urban,42.197649,-72.56138,59
4,Bristol County,12-Sep,Yes,MANSFIELD,2.51E+11,MANSFIELD HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,9.857142857,6.428571429,0,7,0,6.714285714,147.1428571,Urban,42.029695,-71.204208,1240
2,Hampshire County,12-Sep,Yes,NORTHAMPTON-SMITH VOCATIONAL AGRICULTURAL,2.51E+11,SMITH VOCATIONAL AND AGRICULTURAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,0.285714286,1,0,9.285714286,0,1.142857143,59.14285714,Urban,42.33176,-72.65586,496
4,Bristol County,12-Sep,Yes,SWANSEA,2.51E+11,JOSEPH CASE HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1,0.714285714,0,2.285714286,0,0.857142857,70.42857143,Urban,41.75432,-71.20122,527
3,Essex County,12-Sep,Yes,ANDOVER,2.50E+11,ANDOVER HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,47.85714286,5.285714286,0.714285714,16.14285714,0,5.571428571,180.7142857,Urban,42.657463,-71.155895,1795
3,Middlesex County,12-Sep,Yes,WESTFORD,2.51E+11,WESTFORD ACADEMY,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,60.28571429,2.428571429,0.142857143,3.714285714,0.142857143,8.428571429,166.4285714,Urban,42.577457,-71.463818,1691
9,Plymouth County,12-Sep,Yes,MARSHFIELD,2.51E+11,MARSHFIELD HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,2.571428571,0.714285714,0,6,0.142857143,2,175.2857143,Urban,42.108266,-70.741947,1307
7,Suffolk County,Mixed,Yes,NEIGHBORHOOD HOUSE CHARTER (DISTRICT),2.50E+11,NEIGHBORHOOD HOUSE CHARTER SCHOOL,public & charter,11,PK,PK - 11,charter,2019,1,1,1,MA,Massachusetts,Yes,2.857142857,53.71428571,0.571428571,22.85714286,0,5.142857143,15,Urban,42.293365,-71.053553,703
4,Bristol County,12-Sep,Yes,ATTLEBORO,2.50E+11,ATTLEBORO HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,11.28571429,15.71428571,0.571428571,41,0.428571429,10.57142857,173.1428571,Urban,41.938602,-71.301419,1770
7,Suffolk County,12-Sep,Yes,BOSTON,2.50E+11,CHARLESTOWN HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,10,36.57142857,0.285714286,68.85714286,0,1.714285714,4.857142857,Urban,42.380122,-71.060936,856
4,Bristol County,12-Sep,No,TAUNTON,2.51E+11,TAUNTON ALTERNATIVE HIGH SCHOOL,public & charter,12,10,12-Oct,public,2019,0,1,0,MA,Massachusetts,No,0,2,0,2.857142857,0,0.428571429,7,Urban,41.9002,-71.097,86
1,Hampden County,Mixed,Yes,SABIS INTERNATIONAL CHARTER (DISTRICT),2.50E+11,SABIS INTERNATIONAL CHARTER SCHOOL,public & charter,12,KG,KG - 12,charter,2019,1,1,1,MA,Massachusetts,Yes,9.285714286,63.28571429,0,96.57142857,0,13.14285714,42.57142857,Urban,42.125526,-72.484384,1574
1,Hampden County,12-Sep,No,PAULO FREIRE SOCIAL JUSTICE CHARTER SCHOOL (DISTRICT),2.50E+11,PAULO FREIRE SOCIAL JUSTICE CHARTER SCHOOL,public & charter,12,9,12-Sep,charter,2019,0,1,0,MA,Massachusetts,No,0,2.571428571,0,36.57142857,0,0.142857143,0.428571429,Urban,42.145833,-72.604898,278
1,Berkshire County,Mixed,Yes,HOOSAC VALLEY REGIONAL,2.50E+11,HOOSAC VALLEY HIGH SCHOOL,public & charter,12,8,12-Aug,public,2019,0,1,1,MA,Massachusetts,Yes,0.714285714,2.857142857,0.285714286,0.428571429,0,0.142857143,44.28571429,Rural,42.594074,-73.115223,341
6,Middlesex County,12-Sep,Yes,NORTHEAST METROPOLITAN REGIONAL VOCATIONAL TECHNICAL,2.51E+11,NORTHEAST METRO REGIONAL VOCATIONAL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.142857143,4.714285714,0.142857143,63.57142857,0.428571429,3.428571429,108.7142857,Urban,42.49532,-71.04399,1275
1,Hampden County,12-Sep,No,SPRINGFIELD,2.51E+11,LIBERTY PREPARATORY ACADEMY,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,No,0,0,0,0.428571429,0,0.142857143,1.571428571,Urban,42.088359,-72.559114,15
3,Middlesex County,12-Sep,Yes,NASHOBA VALLEY REGIONAL VOCATIONAL TECHNICAL,2.51E+11,NASHOBA VALLEY TECHNICAL HIGH SCHOOL,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,1.571428571,2.142857143,0.428571429,6.571428571,0.142857143,2.142857143,87.57142857,Urban,42.570505,-71.40929,709
6,Middlesex County,12-Sep,Yes,WAKEFIELD,2.51E+11,WAKEFIELD MEMORIAL HIGH,public & charter,12,9,12-Sep,public,2019,0,1,0,MA,Massachusetts,Yes,4.428571429,5.285714286,0.142857143,9,0.142857143,2.285714286,119,Urban,42.496353,-71.050696,983
